key,en,ko,ar,ja,source
"BLOG[0].author","CareBridge Editorial","케어브릿지 편집팀","فريق تحرير CareBridge","CareBridge 編集部","data.js"
"BLOG[0].title","A Foreigner's Guide to Health Checkups in Korea","외국인을 위한 한국 건강검진 가이드","دليل الأجانب للفحوصات الصحية في كوريا","外国人のための韓国健康診断ガイド","data.js"
"BLOG[0].excerpt","What to expect, what's included, and how to choose the right package.","무엇을 기대할 수 있는지, 무엇이 포함되는지, 알맞은 패키지를 고르는 법.","ما الذي يمكن توقعه، وما الذي يشمله الفحص، وكيف تختار الباقة المناسبة.","何が期待でき、何が含まれ、自分に合ったパッケージをどう選ぶか。","data.js"
"BLOG[0].sections[0].h","Why Korea for a health checkup","왜 한국에서 건강검진을 받을까","لماذا كوريا لإجراء الفحص الصحي","なぜ韓国で健康診断を受けるのか","data.js"
"BLOG[0].sections[0].p[0]","Korea's checkup centers combine speed, advanced imaging and value in a single half-day visit. A comprehensive package that takes weeks to arrange elsewhere is often completed before lunch here.","한국의 검진센터는 속도·첨단 영상장비·가치를 반나절 방문에 모두 담아냅니다. 다른 나라에서는 수 주가 걸리는 종합검진이 이곳에서는 점심 전에 끝나기도 합니다.","تجمع مراكز الفحص في كوريا بين السرعة والتصوير المتقدم والقيمة في زيارة واحدة تستغرق نصف يوم. فالباقة الشاملة التي تحتاج أسابيع لترتيبها في أماكن أخرى تكتمل هنا قبل الغداء غالباً.","韓国の検診センターは、スピード・先進的な画像診断・コストパフォーマンスを半日の受診にまとめています。他国では数週間かかる総合検診が、ここでは昼食前に終わることもあります。","data.js"
"BLOG[0].sections[0].p[1]","For international patients, the appeal is not only the technology but the coordination: interpreters, transport and reservations handled end to end.","해외 환자에게 매력은 기술만이 아닙니다. 통역·이동·예약까지 처음부터 끝까지 조율되는 편리함이 핵심입니다.","بالنسبة للمرضى الدوليين، لا تكمن الجاذبية في التقنية فحسب، بل في التنسيق: مترجمون ونقل وحجوزات تُدار من البداية إلى النهاية.","海外からの患者にとっての魅力は技術だけではありません。通訳・移動・予約まで一貫して手配される利便性が鍵です。","data.js"
"BLOG[0].sections[1].h","Choosing the right package","알맞은 패키지 고르기","اختيار الباقة المناسبة","自分に合ったパッケージの選び方","data.js"
"BLOG[0].sections[1].p[0]","Basic packages cover blood work, an abdominal ultrasound and a chest X-ray. Premium tiers add endoscopy, low-dose CT and brain MRI. Start from your age, family history and the organs you want screened.","기본 패키지는 혈액검사·복부초음파·흉부 X-ray를 포함합니다. 프리미엄은 내시경·저선량 CT·뇌 MRI가 더해집니다. 나이·가족력·검진하고 싶은 장기를 기준으로 선택하세요.","تشمل الباقات الأساسية تحاليل الدم وتصوير البطن بالموجات فوق الصوتية وأشعة الصدر السينية. وتضيف الباقات المميّزة التنظير والأشعة المقطعية منخفضة الجرعة والرنين المغناطيسي للدماغ. ابدأ من عمرك وتاريخك العائلي والأعضاء التي تريد فحصها.","基本パッケージには血液検査・腹部超音波・胸部レントゲンが含まれます。プレミアムでは内視鏡・低線量CT・脳MRIが加わります。年齢・家族歴・検査したい臓器を基準に選びましょう。","data.js"
"BLOG[0].sections[2].h","The day of your checkup","검진 당일 흐름","يوم الفحص","検診当日の流れ","data.js"
"BLOG[0].sections[2].p[0]","Fast for 8 hours beforehand. On arrival you'll change, complete a questionnaire, then move through stations in sequence. Results for most items are ready the same day, with a doctor's consultation to close.","8시간 금식 후 방문합니다. 도착하면 검진복으로 갈아입고 문진표를 작성한 뒤 순서대로 검사 스테이션을 이동합니다. 대부분 항목은 당일 결과가 나오며, 의사 상담으로 마무리합니다.","صُم لمدة 8 ساعات قبل الموعد. عند الوصول ستبدّل ملابسك وتملأ استبياناً ثم تنتقل بين محطات الفحص بالترتيب. تكون نتائج معظم البنود جاهزة في اليوم نفسه، وتُختتم باستشارة الطبيب.","事前に8時間絶食します。到着後は検診着に着替え、問診票を記入し、各検査を順に受けます。多くの項目は当日中に結果が出て、医師の相談で締めくくります。","data.js"
"BLOG[0].sections[3].h","Reading your report","리포트 해석하기","قراءة تقريرك","検査レポートの読み方","data.js"
"BLOG[0].sections[3].p[0]","CareBridge issues a translated report and, when needed, connects you with a specialist for follow-up back home. Keep the file — it's the baseline for your next visit.","케어브릿지은 번역된 리포트를 발급하고, 필요 시 귀국 후 추적을 위해 전문의를 연결합니다. 파일은 보관하세요. 다음 검진의 기준선이 됩니다.","يصدر CareBridge تقريراً مترجماً، وعند الحاجة يصلك بأخصائي للمتابعة بعد عودتك إلى بلدك. احتفظ بالملف — فهو خط الأساس لزيارتك القادمة.","CareBridge は翻訳済みのレポートを発行し、必要に応じて帰国後のフォローアップのために専門医をご紹介します。ファイルは保管してください — 次回検診の基準になります。","data.js"
"BLOG[1].author","Dr. J. Kim","김 원장","د. ج. كيم","キム・J 医師","data.js"
"BLOG[1].title","Why SMILE LASIK Is So Popular in Korea","한국에서 스마일 라식이 인기 있는 이유","لماذا يحظى SMILE LASIK بشعبية كبيرة في كوريا","韓国でSMILE LASIKが人気の理由","data.js"
"BLOG[1].excerpt","Minimally-invasive, fast recovery, and trusted surgeons.","최소 침습, 빠른 회복, 신뢰받는 의료진.","تدخل جراحي طفيف، وتعافٍ سريع، وجراحون موثوقون.","低侵襲、早い回復、信頼できる医師。","data.js"
"BLOG[1].sections[0].h","What makes SMILE different","스마일이 다른 점","ما الذي يميّز SMILE","SMILE の違いとは","data.js"
"BLOG[1].sections[0].p[0]","SMILE uses a tiny 2–4mm incision instead of the larger flap of traditional LASIK. Less surface disruption means faster healing and noticeably less dry eye.","스마일은 전통 라식의 큰 절편 대신 2~4mm의 작은 절개를 사용합니다. 표면 손상이 적어 회복이 빠르고 안구건조가 눈에 띄게 적습니다.","يستخدم SMILE شقاً صغيراً بحجم 2–4 مم بدلاً من السديلة الأكبر في الليزك التقليدي. وقلة اضطراب السطح تعني تعافياً أسرع وجفاف عين أقل بشكل ملحوظ.","SMILE は従来のLASIKの大きなフラップではなく、2〜4mmの小さな切開で行います。表面へのダメージが少ないため、回復が早く、ドライアイも明らかに軽減されます。","data.js"
"BLOG[1].sections[1].h","High volume, refined technique","높은 시술량, 정교해진 기술","حجم مرتفع وتقنية متقنة","豊富な症例数と洗練された技術","data.js"
"BLOG[1].sections[1].p[0]","Seoul's leading clinics perform SMILE at scale, and that repetition sharpens outcomes. Ask for the surgeon's case count and complication rate — reputable centers share it openly.","서울의 선도 클리닉은 스마일을 대량으로 시행하며, 그 반복이 결과를 정교하게 만듭니다. 집도의의 케이스 수와 합병증률을 물어보세요. 신뢰할 만한 센터는 이를 투명하게 공개합니다.","تُجري عيادات سيول الرائدة عمليات SMILE على نطاق واسع، وهذا التكرار يصقل النتائج. اسأل عن عدد حالات الجرّاح ومعدّل المضاعفات — فالمراكز الموثوقة تشاركها بصراحة.","ソウルの主要クリニックは SMILE を大量に手がけており、その積み重ねが結果を精緻にします。執刀医の症例数と合併症率を尋ねましょう — 信頼できる施設は率直に開示します。","data.js"
"BLOG[1].sections[2].h","Are you a candidate?","나는 대상이 될까?","هل أنت مرشّح مناسب؟","あなたは適応対象ですか？","data.js"
"BLOG[1].sections[2].p[0]","Stable prescription, healthy corneal thickness and no active eye disease are the baseline. A pre-op exam confirms fit; CareBridge can arrange it on the same trip as your consultation.","안정된 도수, 충분한 각막 두께, 활동성 안질환이 없는 것이 기본 조건입니다. 수술 전 검사로 적합성을 확인하며, 케어브릿지이 상담과 같은 일정으로 잡아드립니다.","الوصفة المستقرة وسماكة القرنية الصحية وعدم وجود مرض عيني نشط هي الحد الأساسي. ويؤكّد فحص ما قبل العملية مدى الملاءمة؛ ويمكن لـ CareBridge ترتيبه في نفس رحلة استشارتك.","安定した度数、十分な角膜厚、活動性の眼疾患がないことが基本条件です。術前検査で適応を確認します。CareBridge が相談と同じ日程で手配できます。","data.js"
"BLOG[2].author","CareBridge Editorial","케어브릿지 편집팀","فريق تحرير CareBridge","CareBridge 編集部","data.js"
"BLOG[2].title","Medical Tax Refund for Foreign Patients","외국인 환자를 위한 의료 세금 환급","استرداد الضرائب الطبية للمرضى الأجانب","外国人患者のための医療費税金還付","data.js"
"BLOG[2].excerpt","How to claim your refund at the airport — step by step.","공항에서 환급받는 법 — 단계별 안내.","كيفية استرداد مبلغك في المطار — خطوة بخطوة.","空港で還付を受ける方法 — ステップごとに解説。","data.js"
"BLOG[2].sections[0].h","What qualifies","환급 대상","ما الذي يكون مؤهلاً","還付の対象","data.js"
